cod_reg;region;cod_prov;provincia;cod_com;comuna;clasf_pnd;pob_2017;bs03;bs04;bs07;bs11;bs12;bs13;bs14;bs16;bs17;bs21;oe01;oe12;oe13;oe15;oe16;sm02;sm06;sm08;sm11;ci01;ci02;ci05;ci06;ci07
1;TARAPACÁ;14;TAMARUGAL;1401;POZO ALMONTE;RURAL;15711;15,29;42,91;65,39;26,07;70,75;36,42;81,51;974,63;2134,10;16,33;41,20;1,12;1,68;70,25;505990,79;1201,22;25,00;NA;NA;0,34;14,90;0,17;0,39;100,00
1;TARAPACÁ;14;TAMARUGAL;1402;CAMIÑA;RURAL;1250;37,76;49,42;291,51;NA;71,84;NA;92,64;578,03;794,80;47,40;97,70;NA;0,00;29,19;NA;NA;6,25;NA;NA;NA;33,96;0,50;1,45;44,44
1;TARAPACÁ;14;TAMARUGAL;1403;COLCHANE;RURAL;1728;53,16;97,26;431,52;NA;26,46;NA;85,63;440,81;3463,48;60,92;79,97;NA;0,00;24,53;NA;NA;0,00;NA;NA;NA;42,19;0,17;0,63;20,00
1;TARAPACÁ;14;TAMARUGAL;1404;HUARA;RURAL;2730;57,82;102,20;175,52;49,07;53,00;18,24;90,89;657,25;1807,43;68,94;79,33;NA;3,29;57,81;NA;1261,57;5,00;NA;NA;0,66;71,31;0,33;0,99;100,00
1;TARAPACÁ;14;TAMARUGAL;1405;PICA;RURAL;9296;24,60;30,43;135,03;47,98;68,77;37,24;81,61;706,66;1018,90;13,01;34,32;1,64;1,64;46,80;378546,76;817,47;66,67;NA;NA;1,81;25,64;0,50;0,66;100,00
2;ANTOFAGASTA;21;ANTOFAGASTA;2102;MEJILLONES;RURAL;13467;6,95;10,01;9,63;18,52;76,45;86,08;75,60;870,25;1872,36;52,21;22,52;1,32;1,32;38,74;504835,18;1767,81;0,00;NA;0,24;NA;19,12;0,67;NA;NA
2;ANTOFAGASTA;21;ANTOFAGASTA;2103;SIERRA GORDA;RURAL;10186;70,05;89,15;92,85;24,69;79,95;90,96;74,91;620,77;9255,08;56,97;28,22;5,64;16,93;36,50;1553008,14;1152,35;25,00;NA;0,24;NA;12,42;0,00;1,13;NA
2;ANTOFAGASTA;21;ANTOFAGASTA;2104;TALTAL;RURAL;13317;18,06;21,37;22,05;22,63;71,54;68,58;84,62;217,30;1072,00;45,75;54,32;0,72;1,45;27,74;840290,10;1132,58;8,33;NA;0,24;NA;4,27;0,50;0,14;NA
2;ANTOFAGASTA;22;EL LOA;2202;OLLAGÜE;RURAL;321;69,23;73,11;172,00;NA;59,71;NA;80,00;0,00;2826,86;70,11;70,16;NA;0,00;36,34;NA;NA;0,00;NA;1,76;NA;60,07;0,33;14,13;100,00
2;ANTOFAGASTA;22;EL LOA;2203;SAN PEDRO DE ATACAMA;RURAL;10996;17,44;20,17;98,50;NA;72,42;NA;80,58;412,18;1667,45;15,40;71,06;0,94;2,81;42,47;201328,59;NA;5,88;NA;1,76;4,40;33,91;0,50;0,47;11,11
2;ANTOFAGASTA;23;TOCOPILLA;2301;TOCOPILLA;RURAL;25186;3,16;4,66;4,92;28,54;87,10;92,70;85,99;467,85;1169,63;59,03;60,42;1,06;1,06;61,58;1671494,94;1767,81;23,81;NA;NA;NA;13,50;0,33;0,11;NA
2;ANTOFAGASTA;23;TOCOPILLA;2302;MARÍA ELENA;RURAL;6457;4,64;4,04;3,66;NA;78,65;NA;74,19;310,05;2037,50;3,76;32,16;1,48;2,95;80,52;453790,94;1541,96;0,00;NA;NA;NA;6,79;0,33;0,59;0,00
3;ATACAMA;31;COPIAPÓ;3102;CALDERA;RURAL;17662;9,35;11,02;82,05;16,94;72,72;79,51;88,83;520,09;2554,56;11,11;68,92;1,02;1,02;43,77;1452637,21;1136,51;5,00;NA;0,29;NA;21,21;0,50;0,25;0,00
3;ATACAMA;31;COPIAPÓ;3103;TIERRA AMARILLA;RURAL;14019;21,89;40,32;59,55;30,54;70,92;55,20;91,58;486,99;1801,86;27,11;23,95;NA;0,70;17,59;NA;1002,02;0,00;NA;0,29;0,07;3,90;0,17;0,14;0,00
3;ATACAMA;32;CHAÑARAL;3201;CHAÑARAL;RURAL;12219;8,09;10,19;10,58;11,72;83,52;82,50;87,94;479,12;1551,45;9,66;50,30;1,52;3,80;25,17;1633872,97;1296,53;10,53;NA;NA;0,23;19,01;0,50;1,22;NA
3;ATACAMA;32;CHAÑARAL;3202;DIEGO DE ALMAGRO;RURAL;13925;7,15;7,93;8,13;14,25;76,66;41,76;76,80;343,67;876,70;49,99;45,90;2,10;2,81;27,49;2576338,51;910,31;14,29;NA;NA;0,07;16,41;0,00;0,14;NA
3;ATACAMA;33;HUASCO;3301;VALLENAR;MIXTA;51917;8,01;10,79;11,28;13,63;83,26;82,52;87,05;559,21;1305,40;10,06;55,13;0,87;1,22;46,84;3672047,38;822,75;7,94;NA;0,24;NA;7,93;0,33;0,09;0,00
